agency_name,date,stock_price
JYP,2018-07-06,25800
JYP,2018-07-09,26150
JYP,2018-07-10,25450
JYP,2018-07-11,24800
JYP,2018-07-12,25850
JYP,2018-07-13,26600
JYP,2018-07-16,26150
JYP,2018-07-17,25450
JYP,2018-07-18,24500
JYP,2018-07-19,23700
JYP,2018-07-20,24050
JYP,2018-07-23,23150
JYP,2018-07-24,23550
JYP,2018-07-25,22700
JYP,2018-07-26,24250
JYP,2018-07-27,24200
JYP,2018-07-30,23200
JYP,2018-07-31,22700
JYP,2018-08-01,23300
JYP,2018-08-02,23100
JYP,2018-08-03,23200
JYP,2018-08-06,22350
JYP,2018-08-07,22300
JYP,2018-08-08,22950
JYP,2018-08-09,23200
JYP,2018-08-10,23650
JYP,2018-08-13,23050
JYP,2018-08-14,23750
JYP,2018-08-16,25700
JYP,2018-08-17,26400
JYP,2018-08-20,26950
JYP,2018-08-21,28650
JYP,2018-08-22,29000
JYP,2018-08-23,29900
JYP,2018-08-24,29800
JYP,2018-08-27,31400
JYP,2018-08-28,30600
JYP,2018-08-29,31300
JYP,2018-08-30,31600
JYP,2018-08-31,32250
JYP,2018-09-03,31850
JYP,2018-09-04,31850
JYP,2018-09-05,31950
JYP,2018-09-06,32450
JYP,2018-09-07,34200
JYP,2018-09-10,32950
JYP,2018-09-11,33300
JYP,2018-09-12,33950
JYP,2018-09-13,34700
JYP,2018-09-14,34800
JYP,2018-09-17,35200
JYP,2018-09-18,34900
JYP,2018-09-19,36650
JYP,2018-09-20,36950
JYP,2018-09-21,36600
JYP,2018-09-27,36400
JYP,2018-09-28,37100
JYP,2018-10-01,38100
JYP,2018-10-02,37050
JYP,2018-10-04,37300
JYP,2018-10-05,37850
JYP,2018-10-08,36350
JYP,2018-10-10,36600
JYP,2018-10-11,35450
JYP,2018-10-12,36050
JYP,2018-10-15,35700
JYP,2018-10-16,36850
JYP,2018-10-17,38050
JYP,2018-10-18,36950
JYP,2018-10-19,37900
JYP,2018-10-22,39150
JYP,2018-10-23,38900
JYP,2018-10-24,31000
JYP,2018-10-25,30250
JYP,2018-10-26,27400
JYP,2018-10-29,26750
JYP,2018-10-30,28500
JYP,2018-10-31,28600
JYP,2018-11-01,30050
JYP,2018-11-02,31500
JYP,2018-11-05,30500
JYP,2018-11-06,30200
JYP,2018-11-07,29250
JYP,2018-11-08,28700
JYP,2018-11-09,29750
JYP,2018-11-12,31050
JYP,2018-11-13,30800
JYP,2018-11-14,32600
JYP,2018-11-15,34400
JYP,2018-11-16,34450
JYP,2018-11-19,34300
JYP,2018-11-20,33800
JYP,2018-11-21,33350
JYP,2018-11-22,32750
JYP,2018-11-23,32050
JYP,2018-11-26,33600
JYP,2018-11-27,33600
JYP,2018-11-28,33000
JYP,2018-11-29,32800
JYP,2018-11-30,32400
JYP,2018-12-03,32450
JYP,2018-12-04,33100
