Date,JYP,SM,YG
2019-09-04,19150,30500,22200
2019-09-05,19350,30750,22300
2019-09-06,19000,30400,21850
2019-09-09,19950,31050,22150
2019-09-10,21100,31750,22600
2019-09-11,21850,31650,23500
2019-09-16,22000,31950,23000
2019-09-17,21850,31700,22750
2019-09-18,22700,32200,22750
2019-09-19,22950,31900,22550
2019-09-20,22700,32450,24200
2019-09-23,22900,32800,24500
2019-09-24,22250,32300,23750
2019-09-25,21600,31150,22700
2019-09-26,21750,32850,23700
2019-09-27,22000,33450,23900
2019-09-30,21550,33300,23050
2019-10-01,22100,35250,24200
2019-10-02,22000,34600,23200
2019-10-04,21800,34150,22850
2019-10-07,21750,35500,23400
2019-10-08,21250,35050,23800
2019-10-10,21000,34300,23550
2019-10-11,21350,34450,23950
2019-10-14,22550,37250,25650
2019-10-15,22500,37150,26000
2019-10-16,22050,35650,25800
2019-10-17,21700,36000,25250
2019-10-18,21350,35300,24750
2019-10-21,21350,34750,24900
2019-10-22,21600,35650,26400
2019-10-23,21450,35700,26350
2019-10-24,22250,36000,26400
2019-10-25,21800,35300,25850
2019-10-28,22100,35400,26000
2019-10-29,22700,35700,25700
2019-10-30,22600,37050,26750
2019-10-31,22400,37100,26750
2019-11-01,22650,37400,26900
2019-11-04,22650,37800,27050
2019-11-05,22100,38450,26900
2019-11-06,22400,38300,26500
2019-11-07,22250,38350,26650
2019-11-08,21800,38150,25400
2019-11-11,21850,39400,26050
2019-11-12,21500,38500,26150
2019-11-13,21200,36950,25550
2019-11-14,22100,39400,25400
2019-11-15,22700,39100,25400
2019-11-18,23500,39650,25450
2019-11-19,23500,39300,24850
2019-11-20,22900,39000,24300
2019-11-21,22200,38000,23800
2019-11-22,21950,38050,24050
2019-11-25,22900,38550,24950
2019-11-26,22750,38000,25150
2019-11-27,22250,37950,24950
2019-11-28,22150,36900,24600
2019-11-29,22200,38400,24850
2019-12-02,22350,38300,24800
2019-12-03,22050,36700,24300
2019-12-04,21750,36750,24400
2019-12-05,21750,36950,24400
2019-12-06,22000,37100,25500
2019-12-09,21700,37050,25100
2019-12-10,21700,36200,25550
2019-12-11,21900,36200,25350
2019-12-12,21950,36600,25450
2019-12-13,22400,37000,26250
2019-12-16,22500,36600,25900
2019-12-17,22550,37050,26200
2019-12-18,23000,36950,26200
2019-12-19,23150,37050,26150
2019-12-20,23000,37100,26100
2019-12-23,23000,36700,26150
2019-12-24,22900,36200,26000
2019-12-26,23500,37200,26500
2019-12-27,23850,37750,26750
2019-12-30,24150,38450,27350
2020-01-02,24100,37950,27500
2020-01-03,24200,37200,28400
2020-01-06,22900,35300,30000
2020-01-07,23250,36200,30750
2020-01-08,22650,35100,30550
2020-01-09,23600,36400,32050
2020-01-10,23500,35650,31750
2020-01-13,26050,38850,34700
2020-01-14,25900,38050,35000
2020-01-15,26500,37700,35800
2020-01-16,26850,37800,35150
2020-01-17,26850,37700,34950
2020-01-20,26800,37900,34450
2020-01-21,26250,36000,33300
2020-01-22,27300,36500,33950
2020-01-23,27000,36000,33300
2020-01-28,25200,32900,31300
2020-01-29,25900,33600,32750
2020-01-30,25450,33650,32550
2020-01-31,24700,32850,31600
2020-02-03,25200,33250,33950
2020-02-04,25450,33950,34200
2020-02-05,25300,33850,33500
2020-02-06,25700,34350,33650
2020-02-07,25750,33950,33900
2020-02-10,25600,33500,32650
2020-02-11,25500,34100,32000
2020-02-12,25350,34250,32700
2020-02-13,25050,34000,33200
2020-02-14,25100,33950,32650
2020-02-17,25600,34050,34600
2020-02-18,25200,33400,34050
2020-02-19,24800,33100,33900
2020-02-20,23950,32550,32900
2020-02-21,22850,31500,31050
2020-02-24,21500,30000,30050
2020-02-25,22900,31550,30600
2020-02-26,23000,31050,31750
2020-02-27,22500,30100,32000
2020-02-28,21150,28450,30300
2020-03-02,22500,29700,30900
2020-03-03,22600,29600,29950
2020-03-04,23550,29750,29700
2020-03-05,23050,29700,29100
2020-03-06,21550,28300,26450
2020-03-09,19850,26400,25100
2020-03-10,20500,26550,25300
2020-03-11,19650,26100,25150
2020-03-12,17700,23400,23250
2020-03-13,17900,22550,22700
2020-03-16,17850,21700,22200
2020-03-17,17800,21400,22400
2020-03-18,17400,20500,21000
2020-03-19,16550,19000,19550
2020-03-20,17700,19450,21350
2020-03-23,15350,16700,19450
2020-03-24,16600,18500,21400
2020-03-25,18150,20450,24650
2020-03-26,18000,20200,24650
2020-03-27,17950,20500,24400
2020-03-30,17600,20800,23800
2020-03-31,17800,21050,24050
2020-04-01,17350,20350,23100
2020-04-02,17700,21300,24100
2020-04-03,17600,21150,23650
2020-04-06,18450,22450,25000
2020-04-07,18850,22550,25300
2020-04-08,19250,22700,26250
2020-04-09,19200,23200,26550
2020-04-10,19950,24600,28900
2020-04-13,19450,24800,28000
2020-04-14,20350,25500,28900
2020-04-16,20800,26700,30550
2020-04-17,21000,26700,30850
2020-04-20,20850,26150,29600
2020-04-21,20250,25500,28700
2020-04-22,20250,25700,29250
2020-04-23,20300,26000,29150
2020-04-24,19800,25150,28050
2020-04-27,20100,25600,28850
2020-04-28,20800,27950,29550
2020-04-29,20750,27700,29650
2020-05-04,20450,27200,29850
2020-05-06,20750,28350,30600
2020-05-07,20800,28350,30950
2020-05-08,20950,28350,30600
2020-05-11,20550,27600,30050
2020-05-12,20100,26700,29400
2020-05-13,20750,26900,30650
2020-05-14,21400,26900,30500
2020-05-15,21300,26050,29500
2020-05-18,21350,26050,30450
2020-05-19,24050,28100,33200
2020-05-20,23800,27700,33500
2020-05-21,24100,27650,32900
2020-05-22,22950,27000,31500
2020-05-25,23100,27000,31400
2020-05-26,23600,27400,32100
2020-05-27,23800,27450,32150
2020-05-28,22850,26400,30300
2020-05-29,22850,26000,29600
2020-06-01,23650,26900,30450
2020-06-02,23250,27200,30250
2020-06-03,23200,27250,30450
2020-06-04,22800,26850,30050
2020-06-05,23050,27150,29900
2020-06-08,23600,27900,31850
2020-06-09,23350,27950,31850
2020-06-10,23550,27500,31950
2020-06-11,22850,26650,32000
2020-06-12,21900,25500,30400
2020-06-15,20250,23400,28550
2020-06-16,20800,24200,29750
2020-06-17,20850,24150,29700
2020-06-18,20350,23500,29600
2020-06-19,20300,23650,29800
2020-06-22,19850,23150,30450
2020-06-23,19900,23150,31200
2020-06-24,19900,23500,31500
2020-06-25,19100,22600,32500
2020-06-26,19150,22800,33850
2020-06-29,19150,21950,37000
2020-06-30,21200,24250,37250
2020-07-01,21650,24000,35600
2020-07-02,22950,26650,39450
2020-07-03,24250,28550,38750
2020-07-06,25200,28600,39200
2020-07-07,24950,29400,38600
2020-07-08,27900,31500,40400
2020-07-09,28150,31500,39600
2020-07-10,29050,32500,38350
2020-07-13,28550,32950,38250
2020-07-14,29200,33650,38750
2020-07-15,29250,32700,37450
2020-07-16,29450,32000,38000
2020-07-17,31250,33350,39650
2020-07-20,32450,33750,40000
2020-07-21,31950,32750,39000
2020-07-22,32000,31000,38350
2020-07-23,31400,31100,38850
2020-07-24,30300,30200,38300
2020-07-27,30850,31100,38700
2020-07-28,30250,30200,38950
2020-07-29,31250,30400,40400
2020-07-30,29700,30250,39450
2020-07-31,29850,31250,40700
2020-08-03,30100,32500,42650
2020-08-04,31800,33150,42950
2020-08-05,32850,33100,45000
2020-08-06,32150,33800,45050
2020-08-07,32500,34400,43950
2020-08-10,35400,34950,45600
2020-08-11,35200,34850,45700
2020-08-12,34800,34150,44250
2020-08-13,36850,35750,48250
2020-08-14,36350,35900,48500
2020-08-18,34500,35500,46750
2020-08-19,36950,39100,49300
2020-08-20,35000,37600,46500
2020-08-21,34650,35900,46700
2020-08-24,35200,35950,46800
2020-08-25,35600,36400,48700
2020-08-26,36250,36050,50400
2020-08-27,35000,34350,50900
2020-08-28,35100,35050,49000
2020-08-31,34850,34400,46650
2020-09-01,36500,35750,48450
2020-09-02,37500,37300,50200
2020-09-03,39900,38850,52200
2020-09-04,40800,38700,52300
2020-09-07,41000,38600,54700
2020-09-08,42450,39300,57600
2020-09-09,40650,38500,57700
2020-09-10,40600,37950,57700
2020-09-11,40800,37800,58700
2020-09-14,39950,37400,58000
2020-09-15,40050,37650,58000
